asin,text,title,location_and_date,verified,rating
B09G9FPHY6,"I bought this for my mother. She doesn’t need all the extras so I saw the price on this and definitely went for it! She’s in her 70s and needs it for getting on the Internet and Facebook and keeping in touch with her friends and of course, her pictures and videos. It has more than enough and I mean more than enough storage for what she needs it for. why spend all that money for all that storage when you don’t need it? So happy with my purchase! And she is so thrilled because hers was only holding a charge for a couple of hours and now she’s got this one and she’s back on Facebook, and happier than ever!",Excellent purchase,"Reviewed in the United States on October 16, 2023",True,5.0
B09G9FPHY6,"In the product summary there are clearly pictures of the Apple Pen and Apple keyboard.  Under ""About this item"", it includes a detailed description of the Apple pen and keyboard.  Then at the very end of that paragraph include a statement ""accessories not included"".  Why describe it in ""about this item"" if they are not included?  Why not add a case, a screen protector, and a backup battery in there and say ""not included""?  It's a little odd...and a little misleading I think.  I looked up other iPads for sale and none of them included a description of accessories under ""about this item"" because they were not included.That is my only criticism of the posting of the item.  Other than that, it was a good value for the money, scratch and dent free, and seemed to be operating perfectly.  It arrived fast (same day) which is good because I needed it quickly for a work project.",Good value for the money,"Reviewed in the United States on October 17, 2023",True,4.0
B09G9FPHY6,This ipad came new and in box it was also charged to 64% as well i’ve had it for 4-5 days now and I can safely say the battery last looonnngggg It doesn’t need to charge for at least 3 days depending on what you are using it for it was on a deal when I bought it from amazon apple store it was $264 I wanted to get the 10th gen but then I thought about it and they don’t have much differences only the button and a few inches difference in the frame But I Love it!!,Great Product,"Reviewed in the United States on October 18, 2023",True,5.0
B09G9FPHY6,I use my iPad all the time since I don’t have a computer. My old one was at least six years old and the battery was pretty much gone and I had to keep it plugged in all the time to be able to use it. I had been putting off replacing it but decided the time and price were right. It’s easy to set up a replacement because all my stuff is in my Icloud account. I highly recommend getting this model next time it’s on special. Apple has some great deals when newer models are released.,Love my new iPad and got it at a great price on Prime Sale Day,"Reviewed in the United States on October 15, 2023",True,5.0
B09G9FPHY6,"This Apple 🍎 iPad 9th generation is very competent and does everything I want it to do.  I don’t do anything really super complicated with it (mostly streaming 🎥 movies, surfing 🏄‍♂️ the net, and of course, ✍️ writing product reviews 🤪😁😜😛😆) so it’s fine for my needs.  Without a case, it’s just over a pound (so not that heavy).  It has fast connectivity and is intuitively, user-friendly.  The 👁️ retina display touchscreen is a pretty decent size at 10.2 inches (diagonally).  The touchscreen is sharp, vivid, true to color, and very responsive.  Also, this iPad came with a 20W USB-C power adapter, USB-C to lightning charge cable, and 3 months free Apple TV+.  The Apple TV+ is great because I have been able to watch the ⚽️ soccer/football⚽️ show, Ted Lasso, for FREE.  👍😁👍  Score!!!!!  ⚽️🥅⚽️  Apple 🍏 makes excellent, quality electronics, and this handheld computer is absolutely no exception.  👍🍏😃🍎  The only things I wish were different about this iPad are the slow charging speed and the battery drains a little faster than I would like.  I use the iPad while it’s charging and that slows down the charging speed.  I purchased this iPad for about $200 plus tax (free shipping, on sale, and had a gift card too).  I would like to buy the 10th generation iPad, but it’s just too pricey and expensive for me.  This is a much more budget-friendly option.  Long story short, I really like this iPad and am very happy with this purchase.  Because of its excellent qualities, it’s going to be very useful to me, and I think 🤔 it will last a long time.  I am impressed by it and highly recommend it (especially if money is a factor).  👍🍏🤪❤️😃🍎👍🍏😎🤔🍏👍❤️😝⭐️🩷🍎👍",🍎 Excellent Quality 🍏 Value 🍎 Sharp Retina Display 🍏 User Friendly 🍎🤪🍏❤️😃😎❤️🍏,"Reviewed in the United States on August 25, 2023",True,5.0
B09G9FPHY6,"The Apple iPad (9th Generation) is a powerhouse device that sets a new standard for versatility, performance, and portability. Whether you're a student, a creative professional, or someone seeking a reliable and powerful tablet, this iPad is a game-changer that will revolutionize the way you work, learn, and play.The standout feature of the Apple iPad (9th Generation) is its stunning 10.2-inch Retina display. The crisp resolution and True Tone technology deliver vibrant colors and sharp details, making it a delight to watch videos, edit photos, and read e-books. The larger display provides ample space for multitasking, making it ideal for productivity tasks and creative endeavors.The iPad is powered by the A13 Bionic chip, ensuring swift and smooth performance for demanding apps and games. The processor's efficiency maximizes battery life while providing impressive processing power, allowing you to tackle any task with ease. Whether you're editing videos, running graphics-intensive apps, or engaging in augmented reality experiences, the iPad's performance remains impeccable.The iPad (9th Generation) runs on iPadOS, which provides a seamless and intuitive user experience. With features like Slide Over, Split View, and the redesigned home screen, multitasking becomes effortless, enhancing productivity and efficiency. The integration of the Apple Pencil allows for precision note-taking, sketching, and creative projects, making it a valuable tool for students and professionals alike.The iPad's versatility extends to entertainment, with access to the vast App Store and Apple Arcade. From streaming your favorite movies and TV shows to playing immersive games, the iPad delivers a rich and immersive entertainment experience. With its powerful stereo speakers, you can enjoy immersive audio without needing external accessories.The tablet's front and rear cameras capture stunning photos and videos, making it a valuable tool for content creation. Whether you're capturing memorable moments, attending virtual meetings, or recording high-quality videos, the iPad's cameras deliver impressive results.The iPad (9th Generation) supports the Smart Keyboard and Apple Pencil, transforming it into a productive workstation or a creative canvas. The Smart Connector on the iPad allows for easy attachment of the Smart Keyboard, providing a comfortable typing experience for extended writing sessions.Additionally, with the iPad's all-day battery life, you can stay productive and entertained for hours without needing to worry about recharging. The iPad's lightweight design and slim profile make it easy to carry around, making it the perfect companion for productivity on the go.In conclusion, the Apple iPad (9th Generation) is a true powerhouse that redefines versatility and performance in a tablet. With its stunning display, powerful A13 Bionic chip, iPadOS capabilities, and compatibility with the Smart Keyboard and Apple Pencil, this iPad is the ultimate tool for unleashing your creativity and productivity. Whether you're a student, a creative professional, or simply seeking an all-around capable tablet, the Apple iPad (9th Generation) is a worthwhile investment that will enhance every aspect of your digital life.",Unleash Your Creativity and Productivity - Apple iPad (9th Generation) Redefines Versatility,"Reviewed in the United States on July 23, 2023",True,5.0
B09G9FPHY6,"For over a decade, I thought anyone who spent the money on an iPad was an idiot.  I bought one Android tablet after another because they were cheap and ""just as good"".  But each one didn't last long before running so slow I had to replace it.  Meanwhile, my old iPhone 5 was still working great as a music and sleep machine audio device for our bedroom.  I finally decided to step up to THIS iPad back in 2021.  WHY DID I WAIT SO LONG!!!!!!  First, it is still blazingly fast and will be for basic tasks like I use it for a decade or more.  I won't have to replace this for a very very long time.  Second.....the user experience is incredible, just like an iPhone or Macbook.  I'm cheap, but wish I hadn't tried to save money buying all those garbage low end Android tablets over the years.",SOOOOOO much better than cheap Android tablets,"Reviewed in the United States on October 10, 2023",True,5.0
B09G9FPHY6,"It is a new iPad, in an unopened box. Would not expect it to be anything other than great Apple quality, which it is. My ONLY complaint with this order is that it took about 2 weeks to be delivered rather than a couple of days. I’m sure that has something to do with logistics and how Amazon buys stock and sells genuine Apple new (rather than “refreshed”) electronics and there was no huge rush, just a disconnect between the usual Amazon speed of fulfillment and the experience with this purchase. Nevertheless, the savings made it all worth it. And I love my new iPad.","Better than Apple, because it was less expensive than Apple","Reviewed in the United States on October 13, 2023",True,5.0
B09G9FPHY6,"Grandson had a Mini-4, broke the screen but was limping through it so was going to buy a refurbished Mini-4 but this deal on this IPad came up. For $40 more I could buy an IPad 9th Gen so I went for it. Now I'm hearing how much better the new IPad is compared to the old mini 4. Extremely happy with this purchase. If you are in the same predicament go for the IPad 9th Gen. Mini-4 (2015) refurbished $208, 9th Gen (2021-22) brand new $249",Oh Ya,"Reviewed in the United States on October 16, 2023",True,5.0
B09G9FPHY6,I believe we bought this either on a Prime day sale or Black Friday sale for around $250. It was an old model for sure but it has been working out perfectly for my 8yo who received it for Christmas last year right before she turned 8! It was such a reasonable price and she was starting to outgrow the fire kids tablets we had purchased when she was between the ages of 2 and 7 yo.,Perfect!!,"Reviewed in the United States on October 15, 2023",True,5.0
B09G9FPHY6,"My old Ipad Pro hasn’t worked for over a year and I also needed a new computer -  but didn’t need anything as sophisticated as a Mac so thought I would try out this 9th Gen Ipad.  So far it does most of what I would do with a larger laptop and has a touchscreen.  I was reluctant to buy Apple tech for quite a few years until I bought a small Iphone SE about 4 years ago - switched from a Samsung Galaxy..  The SE was a great size to carry around the city and it fit in most pockets and had great reception.  It was and still is a great piece of technology.  I upgraded to a 12 after 2 years and still use the SE around the house because it connects to wifi.  The 12 had a better camera and I had toddler granddaughters and after another 2 years I upgraded to the 14 PROMax which has a great camera, larger screen and is not unlike the SE except the bigger size to view photos.  I really love the touchscreen feature for NYTimes games and other interactive apps.  I worry about having most of my pictures on this technology because they could move to a more sophisticated system and make these obsolete - which is a concern. My daughter’s Iphone 13 fell in the snow a few years ago and she somehow lost all her pictures that she thought were in the cloud.  I held on to my 12 because it holds quite a bit of what she lost since we shared their photos.  Neither of us is sure why this happened and if it could happen again.  If I have a stand alone camera it isn’t convenient but I have the photos detached from the technology and the whims of a large multinational behemoth.  So far I am happy with the Ipad and am still learning how to use it.  I found a case that closes securely and  can stand in portrait or landscape mode which is really nice when viewing Netflix or AppleTV.  If you need a new computer to carry conveniently this Ipad is the way to go unless you really need the power and graphic abilities of the MAC.  My Iphone 14maxpro has 256g of memory and I barely use 100 so I thought I would only need 64g on the Ipad since my phone has the extra capacity.  Not convinced this was a great decision but some of my Iphone content can stay there exclusively  so it might just work out.  Or not…..",Nice IPad.  Larger than I thought it would be but easy to carry in a bag,"Reviewed in the United States on July 22, 2023",True,5.0
B09G9FPHY6,"I got this for my wife who loves to watch her media content, surf the web and play her occasional game. She loves the display and the battery longevity compared to her 2 android tablets. She also uses the iPad from time to time to take notes and to doodle and has had no complaints. All in all this tablet is more than powerful enough for what she and most iPad owners do. The display is beautiful, the sound is adequate andit has all the connectivity she needs. All in all a great Apple product that is now part of her commute bag.Hope this was helpful!",Great content consumer and all the iPad most need.,"Reviewed in the United States on October 9, 2023",True,5.0
B09G9FPHY6,"Update: The road block was iOS.  I could not transfer from iPad to iPad; it just wouldn’t carry over the software.  Finally, I registered the new iPad as a new device on my iTunes account, updated the iOS and reset it.  Then I was able to transfer data from the old to the new.  It works like an iPad, which is exactly how I want it to work!",Stuck in a loop.,"Reviewed in the United States on October 17, 2023",True,5.0
B09G9FPHY6,"Not quite as slick or light as the latest and greatest models, but a lot cheaper, and works well enough.Supports the lates IOS version.  Has a lightning port, and it seems, a traditional headphone mini-jack.  If you are considering a refurb to save money, this is a worthy option, at least you get a brand new battery, and a full warranty.","Brand new, but an older model","Reviewed in the United States on October 14, 2023",True,5.0
B09G9FPHY6,"I purchased the iPad originally for a research project involving digital illustration and manipulation using Adobe software, but I’m extremely pleased by its performance over the last year and have utilized it for many, many other purposes. If you get a decent case and screen protector, its durability allows you to tote it along with you everywhere.",Performed exactly as advertised & durable,"Reviewed in the United States on October 15, 2023",True,5.0
B09G9FPHY6,"I love this big boy, although it is a bit heavy.  I don’t have a tv, so this is my personal entertainment choice, and is a great size to enjoy movies on or get lost in utube for a while.  I prop it up on pillows and enjoy the portability of it.  It is a bit heavy, but once you figure out how to prop it up, it’s great for jigsaw puzzles, videos, photo editing, and enjoying a great book.",Love it!,"Reviewed in the United States on October 6, 2023",True,5.0
B09G9FPHY6,"I needed to replace my older iPad because it only had 32 gb and was totally full. This was was at an unbeatable price and doubled my internal storage. It was easy to set up and charges faster than my older one. Works great, I have  zero complaints. After doing some research I have now regrets getting this version versus paying much more the 10th gen.",I love it!,"Reviewed in the United States on October 13, 2023",True,5.0
B09G9FPHY6,"I’ve wanted an iPad for awhile, but the price was just too high.  It was hard to justify since I didn’t need it for work - just for fun. The uncertainty surrounding buying refurbished kept me from buying for awhile but the other good reviews gave me the courage to take a chance.  I am soooo glad I did!  It looks and acts like a brand new iPad. It even came in a iPad box with an OEM charger.  I could easily be convinced that I was sent a brand new one.  I’ve since bought 2 more.  Only one came with a real box, packed like new, but all 3 of them work like new.  There are no dings or scratches and I was able to update them all to the most current iOS version.  The battery life is great - there doesn’t appear to be any degradation to battery life at all.  I highly recommend this iPad and will probably purchase a couple more for other family members.  I think this surprising purchase was my favorite buy of the year!",Great iPad!,"Reviewed in the United States on September 26, 2023",True,5.0
B09G9FPHY6,Newer version of one I had for 7 years that finally stopped working. I dont use a lot of apps so this one suits my needs perfectly. Loved the overnight delivery. Easy auto set up to transfer data from the old one that I plugged in to the new one.,Great iPad,"Reviewed in the United States on October 15, 2023",True,5.0
B09G9FPHY6,"This 9th gen iPad is the best value for money, at around two hundred fifty bucks on sale.If you're willing to spend about twice as much, or four times as much for the Pro,  go for those instead.I'm not much of an iOS user, but I wanted to be in the Apple eco-system for certain apps not on Android. So this iPad is it, and I'm happy with the operation and performance and battery life.",Best budget/value for money iPad,"Reviewed in the United States on October 10, 2023",True,5.0
B09G9FPHY6,"We’e owned iMac and iPhone products for over a decade, but this doesn’t operate the same as either. It’s not completely different, but enough that two 70 year olds are challenged to used it smoothly. If you’re younger you’ll more than likely not have issues.",New to iPad blues.,"Reviewed in the United States on October 17, 2023",True,5.0
